18422,7
29001,9
29001,17
29001,19
29001,16
29001,15
29001,12
29001,15
29001,13
29001,16
29001,14
29001,9
29001,16
29001,13
29001,14
29001,16
29001,13
29001,12
29001,20
29001,14
29001,16
29001,14
29001,19
29001,20
29001,7
29001,7
29001,20
29001,21
29001,14
29001,14
29001,13
29001,23
29001,24
29001,20
29001,26
29001,18
29001,22
29001,18
29001,18
29001,13
29001,25
29001,26
29001,9
29001,16
29001,12
29001,15
29001,13
29001,10
29001,10
29001,20
29001,10
29001,15
29001,7
29001,13
29001,14
29001,17
29001,14
29001,9
29001,9
29001,14
29001,13
29001,15
29001,7
29001,16
29001,9
29001,13
29001,11
29001,14
29001,16
29001,20
29001,18
29001,19
29001,27
29001,30
29001,14
29001,23
29001,14
29001,20
29001,20
29001,17
29001,13
29001,13
29001,20
29001,16
29001,19
29001,19
29001,11
29001,18
29001,16
29001,11
29001,16
29001,15
29001,15
29001,16
29001,13
29001,25
29001,16
29001,21
29001,15
29001,16
29001,15
93201,12
17304,13
76879,7
